FIPSCode,StateSearched,"County, State",Total TAT-ReportLevel(Days)
19023,ia,"butler, ia",513.752
20015,ks,"butler, ks","3,160.85"
21031,ky,"butler, ky",639.989
29023,mo,"butler, mo",300.332
31023,ne,"butler, ne",284.748
39017,oh,"butler, oh","14,713.39"
42019,pa,"butler, pa","8,724.10"
6007,ca,"butte, ca","8,613.14"
16023,id,"butte, id",46.982
46019,sd,"butte, sd",17.934
13035,ga,"butts, ga","1,601.11"
37025,nc,"cabarrus, nc","4,208.17"
54011,wv,"cabell, wv","8,283.21"
49005,ut,"cache, ut","4,535.86"
22017,la,"caddo, la","11,406.17"
40015,ok,"caddo, ok",789.152
6009,ca,"calaveras, ca","1,598.71"
22019,la,"calcasieu, la","9,001.13"
21033,ky,"caldwell, ky",510.128
22021,la,"caldwell, la",247.494
29025,mo,"caldwell, mo",58.684
37027,nc,"caldwell, nc",626.64
48055,tx,"caldwell, tx","2,987.35"
50005,vt,"caledonia, vt",499.035
1015,al,"calhoun, al",646.979
5013,ar,"calhoun, ar",46.236
12013,fl,"calhoun, fl",436.202
13037,ga,"calhoun, ga",267.777
19025,ia,"calhoun, ia",363.665
17013,il,"calhoun, il",141.602
26025,mi,"calhoun, mi","7,860.88"
28013,ms,"calhoun, ms",455.03
45017,sc,"calhoun, sc","2,041.77"
48057,tx,"calhoun, tx",714.539
54013,wv,"calhoun, wv",444.109
48059,tx,"callahan, tx",600.566
29027,mo,"callaway, mo",445.533
21035,ky,"calloway, ky","1,568.41"
55015,wi,"calumet, wi",822.754
24009,md,"calvert, md",639.716
16025,id,"camas, id",32.231
42021,pa,"cambria, pa","3,895.14"
13039,ga,"camden, ga","2,907.01"
29029,mo,"camden, mo",530.509
37029,nc,"camden, nc",256.455
34007,nj,"camden, nj","8,932.26"
22023,la,"cameron, la",437.026
42023,pa,"cameron, pa",109.983
48061,tx,"cameron, tx","7,775.96"
48063,tx,"camp, tx",805.006
21037,ky,"campbell, ky","7,860.90"
46021,sd,"campbell, sd",0.762
47013,tn,"campbell, tn","2,880.43"
51031,va,"campbell, va","1,430.82"
56005,wy,"campbell, wy","3,991.64"
40017,ok,"canadian, ok","4,531.73"
13043,ga,"candler, ga",331.667
47015,tn,"cannon, tn","4,224.95"
16027,id,"canyon, id","9,960.37"
29031,mo,"cape girardeau, mo",995.706
34009,nj,"cape may, nj","1,063.11"
30009,mt,"carbon, mt",208.401
42025,pa,"carbon, pa","3,211.24"
49007,ut,"carbon, ut",389.805
56007,wy,"carbon, wy","1,222.95"
16029,id,"caribou, id",152.493
21039,ky,"carlisle, ky",441.886
27017,mn,"carlton, mn",952.63
24011,md,"caroline, md",427.387
51033,va,"caroline, va","2,012.54"
5015,ar,"carroll, ar",374.641
13045,ga,"carroll, ga","5,732.32"
19027,ia,"carroll, ia",442.423
17015,il,"carroll, il",325.241
18015,in,"carroll, in","1,165.58"
21041,ky,"carroll, ky","1,312.94"
24013,md,"carroll, md","2,600.75"
29033,mo,"carroll, mo",24.134
28015,ms,"carroll, ms",331.82
33003,nh,"carroll, nh","2,719.60"
39019,oh,"carroll, oh","1,797.07"
47017,tn,"carroll, tn","1,561.71"
51035,va,"carroll, va",698.94
32510,nv,"carson city, nv","10,520.43"
48065,tx,"carson, tx",309.32
21043,ky,"carter, ky",994.914
29035,mo,"carter, mo",38.175
30011,mt,"carter, mt",29.03
40019,ok,"carter, ok","1,629.63"
47019,tn,"carter, tn","3,586.21"
37031,nc,"carteret, nc","1,432.89"
27019,mn,"carver, mn","5,457.29"
30013,mt,"cascade, mt","2,199.98"
21045,ky,"casey, ky",524.594
19029,ia,"cass, ia",393.406
17017,il,"cass, il",649.463
18017,in,"cass, in","1,306.79"
26027,mi,"cass, mi","3,370.73"
27021,mn,"cass, mn",397.037
29037,mo,"cass, mo","1,738.65"
38017,nd,"cass, nd","6,697.46"
31025,ne,"cass, ne",997.274
48067,tx,"cass, tx","1,371.01"
16031,id,"cassia, id","1,060.30"
48069,tx,"castro, tx",268.717
37033,nc,"caswell, nc",581.797
22025,la,"catahoula, la",430.495
37035,nc,"catawba, nc","1,598.25"
13047,ga,"catoosa, ga","3,044.19"
35003,nm,"catron, nm",24.392
36009,ny,"cattaraugus, ny","1,597.43"
38019,nd,"cavalier, nd",43.446
36011,ny,"cayuga, ny",6.307
24015,md,"cecil, md","1,847.73"
19031,ia,"cedar, ia","1,122.96"
29039,mo,"cedar, mo",42.071
31027,ne,"cedar, ne",82.188
42027,pa,"centre, pa","7,954.36"
19033,ia,"cerro gordo, ia","2,700.29"
8015,co,"chaffee, co",74.438
1017,al,"chambers, al",108.885
48071,tx,"chambers, tx","3,931.72"
17019,il,"champaign, il","12,397.75"
39021,oh,"champaign, oh","2,386.01"
29041,mo,"chariton, mo",57.842
51036,va,"charles city, va","1,345.61"
46023,sd,"charles mix, sd",16.877
24017,md,"charles, md","3,452.78"
45019,sc,"charleston, sc","35,598.36"
26029,mi,"charlevoix, mi",762.049
12015,fl,"charlotte, fl","5,057.04"
51037,va,"charlotte, va",395.882
51540,va,"charlottesville city, va","6,095.68"
13049,ga,"charlton, ga",323.982
20017,ks,"chase, ks",87.861
31029,ne,"chase, ne",12.135
13051,ga,"chatham, ga","17,643.55"
37037,nc,"chatham, nc","1,408.28"
13053,ga,"chattahoochee, ga","1,567.56"
13055,ga,"chattooga, ga",664.225
20019,ks,"chautauqua, ks",102.227
36013,ny,"chautauqua, ny","1,476.10"
35005,nm,"chaves, nm","2,115.53"
47021,tn,"cheatham, tn","11,174.26"
26031,mi,"cheboygan, mi",633.902
53007,wa,"chelan, wa",377.55
36015,ny,"chemung, ny","2,316.13"
36017,ny,"chenango, ny",728.873
1019,al,"cherokee, al",73.624
13057,ga,"cherokee, ga","16,277.40"
19035,ia,"cherokee, ia",280.954
20021,ks,"cherokee, ks",503.348
37039,nc,"cherokee, nc",212.483
40021,ok,"cherokee, ok","3,515.39"
45021,sc,"cherokee, sc","7,162.45"
48073,tx,"cherokee, tx","1,681.34"
31031,ne,"cherry, ne",133.45
51550,va,"chesapeake city, va","14,327.52"
33005,nh,"cheshire, nh","3,450.74"
42029,pa,"chester, pa","26,600.93"
45023,sc,"chester, sc","4,238.05"
47023,tn,"chester, tn",927.737
45025,sc,"chesterfield, sc","2,922.42"
51041,va,"chesterfield, va","19,383.99"
8017,co,"cheyenne, co",5.783
20023,ks,"cheyenne, ks",98.268
31033,ne,"cheyenne, ne",409.105
19037,ia,"chickasaw, ia",454.237
